Part;Cond;Block;Trial;Click;Tar_t;Click_t;PosX;PosY;Dist;Succ
2;0;1;4;4;30-04-2018 13:51:11:516;30-04-2018 13:51:10:792;310;886;7.158910532;1
2;0;1;4;5;30-04-2018 13:51:11:968;30-04-2018 13:51:11:516;723;497;10.44030651;1
2;0;2;4;1;30-04-2018 13:51:15:153;30-04-2018 13:51:13:399;104;242;51.70348151;1
2;0;2;4;2;30-04-2018 13:51:16:97;30-04-2018 13:51:15:153;1390;736;29.10755916;1
2;0;2;4;3;30-04-2018 13:51:16:855;30-04-2018 13:51:16:97;119;724;18.20027472;1
2;0;2;4;4;30-04-2018 13:51:17:686;30-04-2018 13:51:16:855;1399;233;43.54595274;1
2;0;2;4;5;30-04-2018 13:51:19:221;30-04-2018 13:51:17:686;733;452;17.2626765;1
2;0;3;4;1;30-04-2018 13:51:23:635;30-04-2018 13:51:22:894;523;87;31.03626911;1
2;0;3;4;2;30-04-2018 13:51:24:198;30-04-2018 13:51:23:635;708;97;44.81350243;1
2;0;3;4;3;30-04-2018 13:51:24:538;30-04-2018 13:51:24:198;859;94;23.64846718;1
2;0;3;4;4;30-04-2018 13:51:24:848;30-04-2018 13:51:24:538;1029;87;21.05350327;1
2;0;3;4;5;30-04-2018 13:51:25:587;30-04-2018 13:51:24:848;755;482;7.810249676;1
2;0;4;4;1;30-04-2018 13:51:27:501;30-04-2018 13:51:26:967;526;857;34.61574786;1
2;0;4;4;2;30-04-2018 13:51:27:830;30-04-2018 13:51:27:501;703;864;39.003205;1
2;0;4;4;3;30-04-2018 13:51:28:130;30-04-2018 13:51:27:830;854;863;18.00694311;1
2;0;4;4;4;30-04-2018 13:51:28:410;30-04-2018 13:51:28:130;1021;872;15.53222457;1
2;0;4;4;5;30-04-2018 13:51:28:889;30-04-2018 13:51:28:410;751;490;14.03566885;1
2;0;5;4;1;30-04-2018 13:51:31:281;30-04-2018 13:51:30:367;121;273;55.65294242;1
2;0;5;4;2;30-04-2018 13:51:31:609;30-04-2018 13:51:31:281;123;444;55.01136246;1
2;0;5;4;3;30-04-2018 13:51:31:960;30-04-2018 13:51:31:609;113;588;26.00480725;1
2;0;5;4;4;30-04-2018 13:51:32:239;30-04-2018 13:51:31:960;109;722;12.5;1
2;0;5;4;5;30-04-2018 13:51:32:758;30-04-2018 13:51:32:239;748;466;10.19803903;1
2;0;6;4;1;30-04-2018 13:51:34:792;30-04-2018 13:51:34:270;1374;268;51.79044313;0
2;0;6;4;2;30-04-2018 13:51:35:273;30-04-2018 13:51:34:792;1389;448;58.01939331;1
2;0;6;4;3;30-04-2018 13:51:35:633;30-04-2018 13:51:35:273;1389;610;48.02343178;1
2;0;6;4;4;30-04-2018 13:51:36:3;30-04-2018 13:51:35:633;1401;772;40.3267901;0
2;0;6;4;5;30-04-2018 13:51:36:660;30-04-2018 13:51:36:3;763;477;13.03840481;1
2;0;7;4;1;30-04-2018 13:51:38:839;30-04-2018 13:51:38:154;344;83;24.6221445;1
2;0;7;4;2;30-04-2018 13:51:39:629;30-04-2018 13:51:38:839;367;848;49.48989796;0
2;0;7;4;3;30-04-2018 13:51:40:122;30-04-2018 13:51:39:629;517;99;27.11549373;1
2;0;7;4;4;30-04-2018 13:51:40:760;30-04-2018 13:51:40:122;497;861;5.590169944;1
2;0;7;4;5;30-04-2018 13:51:41:210;30-04-2018 13:51:40:760;750;487;11;1
2;0;8;4;1;30-04-2018 13:51:43:366;30-04-2018 13:51:42:661;1179;859;4.609772229;1
2;0;8;4;2;30-04-2018 13:51:43:885;30-04-2018 13:51:43:366;1189;86;9.340770846;1
2;0;8;4;3;30-04-2018 13:51:44:580;30-04-2018 13:51:43:885;1003;861;5.590169944;1
2;0;8;4;4;30-04-2018 13:51:45:205;30-04-2018 13:51:44:580;1013;71;18.20027472;0
2;0;8;4;5;30-04-2018 13:51:45:874;30-04-2018 13:51:45:205;751;497;21.02379604;1
2;0;9;4;1;30-04-2018 13:51:48:70;30-04-2018 13:51:47:264;123;270;53.04950518;1
2;0;9;4;2;30-04-2018 13:51:49:223;30-04-2018 13:51:48:70;1390;260;42.07433897;1
2;0;9;4;3;30-04-2018 13:51:49:912;30-04-2018 13:51:49:223;108;452;62.16309194;1
2;0;9;4;4;30-04-2018 13:51:50:699;30-04-2018 13:51:49:912;1383;425;35.28809998;1
2;0;9;4;5;30-04-2018 13:51:51:285;30-04-2018 13:51:50:699;720;490;33.10589071;1
2;0;10;4;1;30-04-2018 13:51:54:466;30-04-2018 13:51:53:450;1389;791;57.01973343;1
2;0;10;4;2;30-04-2018 13:51:56:44;30-04-2018 13:51:54:466;101;758;26.61296676;1
2;0;10;4;3;30-04-2018 13:51:56:763;30-04-2018 13:51:56:44;1388;622;60.0020833;1
2;0;10;4;4;30-04-2018 13:51:57:472;30-04-2018 13:51:56:763;110;612;50.06246099;1
